52,86,52 is taking a course at the same college that 86 teaches at,Spatial
53,ftnt46,"53 is going to the Royal Festival Hall, ftnt46 is about the Royal Festival Hall",Explination
54,139,"54 works at BT, as does 139 who's on a graduate placement there.",Spatial
55,165,55 chased a suspect who had sprayed graffiti on the school walls where 165's husband works (different school to 82!),Incidental
55,82,55 chased a suspect who had sprayed graffiti on the school walls where 82 works,Incidental
55,21,"55 works at Lambeth Police Station, 21 is on his way there",Spatial
56,84,56 manages the shop next to 84,Spatial
56,50,56 imagines 50 as a woman,Incidental
56,51,56 imagines 51 as a man,Incidental
56,52,56 imagines 52 as a man,Incidental
56,53,56 imagines 53 as a man,Incidental
56,54,56 imagines 54 as a man,Incidental
56,55,56 imagines 55 as a woman,Incidental
57,101,57 and 101 work at Adventure Capital,Spatial
57,79,57 and 79 are thinking of inviting 216 to live with them,Shared thoughts
57,140,57 and 140 are thinking of inviting 216 to live with them,Shared thoughts
57,198,"57 is thinking about inviting 216 to live with her, 198 is thinking of inviting 216 to help teach EFL",Incidental
57,216,57 has been talking to 216 regularly believing him to be Pascal from Switzerland,History
58,90,"58 teaches at Bruenwalt International College, 90 studies Bruenwalt International College",Spatial
58,92,"58 teaches at Bruenwalt International College, 92 studies Bruenwalt International College",Spatial
58,198,58 and 198 teach at Bruenwalt International College,Spatial
58,23,"58 teaches at Bruenwalt International College, 58 studies Bruenwalt International College",Spatial
59,60,59 is friends with 60,Relationship
59,60,Went drinking together,History
59,60,Worked together,Spatial
60,59,Came from Russia together,History
60,59,Worked together,Spatial
62,107,62 and 107 are both fangirls,Shared thoughts
62,80,"62 has 8 cats, 80 wants to open a cattery",Shared thoughts
62,41,"62 works with the Asian Women's Group at Multi-Use Resource Centre, 41 is interviewing for a job teaching Karate at the Multi-Use Resource Centre",Spatial
63,2,"63 took part in a robbery, 2 is writing an article on photo ids which were required after the second robbery in the area",Incidental
63,48,63 was seen by 48 during a robbery at 48's place of work,History
64,132,"64 works for Pall Mall Oil, 132 has many friends at Pall Mall Oil",Incidental
64,102,Both 64 and 102 work for Pall Mall Oil,Spatial
64,129,Both 64 and 129 work for Pall Mall Oil,Spatial
64,150,Both 64 and 150 work for Pall Mall Oil,Spatial
64,205,Both 64 and 205 work for Pall Mall Oil,Spatial
64,232,Both 64 and 232 work for Pall Mall Oil,Spatial
65,246,"65 works at a hairdressers, 246 works at a beauty salon",Incidental
66,45,66 sees 45 holding a box,Interaction
66,46,66 sees 46 clump 47 with a bike seat,Interaction
66,47,66 sees 47 clumped with a bike seat by 46,Interaction
66,44,66 thinks 44 is Mick Hucknall while she is sleepwalking,Interaction
67,13,67 lives in the same housing estate as 13,Spatial
67,138,67 and 138 both work on Lower Marsh,Spatial
67,204,67 and 204 both work on Lower Marsh,Spatial
67,236,67 and 236 both work on Lower Marsh,Spatial
67,43,67 and 43 both work on Lower Marsh,Spatial
67,49,"67 is a next door neighbour to a friend of some escaped prisoners, 49 is reading about the escape ",Incidental
67,ftnt67,"67 is the next door neighbour of a friend of some prisoners who escaped from Parkhurst prison, ftnt67 is about the prison",Incidental
67,39,67 smells 39,Interaction
68,69,68 is 69's grandmother,Relationship
68,203,Both 68 and 203 have grandchildren (who they are looking after/visiting or will be shortly),Incidental
68,26,Both 68 and 26 have grandchildren,Incidental
69,68,69 is 68's granddaughter,Relationship
69,41,69 is fascinated by 41 who she thinks looks like is from the tell,Interaction
71,ad3,"71 is reading personal ads, ad3 are personal ads",Explination
71,184,71 read personal advert put in Time Out by 184,Interaction
71,210,Both 71 and 210 live in Harrow,Spatial
71,221,Both 71 and 221 live in Harrow,Spatial
71,233,Both 71 and 233 live in Harrow,Spatial
72,71,72 fancies 71,Interaction
72,39,72 smells 39,Interaction
72,71,72 thinks 71 smells,Interaction
72,196,"72 works at London Television Centre, 196 works for London Weekend Television",Spatial
72,231,"72 works at London Television Centre, 231 is pretending to work at London Weekend Television and has a temporary pass",Spatial
73,19,73 is stepfather of 19,Relationship
73,J,73 thinks he is sitting with Jesus,Interaction
73,19,73 wants to kill 19,Interaction
73,94,Both 73 and 94 are thinking of Andrew Lloyd Webber,Shared thoughts
74,136,"74 claimed her husband was an IRA informant and they don't know how to get him out now there is a ceasefire, 136 is thinking of visiting Northern Ireland now there is a ceasefire",Incidental
74,152,74 is being tailed by 152,Interaction
74,126,Both 74 and 126 work at Epik Publications,Spatial
108,ftnt108,108 visits Ghandi's statue every morning. ftnt108 describes the statue.,Explanation
110,111,"110 pats the seat next to him, encouraging 111 to sit down next to him",Interaction
111,198,"110 suggests to 111 that she could get a qualification to teach English as a foreign language. 198 is trying to find a book that explains the use of English verbs in a way her foreign students might understand
",Interaction
111,182,"111 often goes to France, where her husband lives. 182 has just returned from a wedding in France",Incidental
145,110,110 moves his feet so that 145 can sit down,Interaction
145,171,"145 is concerned about security, 171 works for a security firm",Incidental
145,193,145 is due to give a presentation to the Met Police. 193 is a policeman's daughter,Incidental
145,213,"145 visited New Scotland Yard, 213 has a data licensing agreement with Scotland Yard",Incidental
145,91,"At New Scotland Yard, 145 saw surveillance cameras monitor someone getting on a bus. 91 is presumably now tracking the same person.",Incidental
150,235,Both have copies of the FT,Shared thoughts
150,205,Both work for Pall Mall Oil,Spatial
151,150,151 admires 150,Interaction
151,176,151 talks to 176,Interaction
193,192,"193 is watching 192 as he sleeps and then wakes up, suddenly",Interaction
193,206,They're having a tense whistling competition.,Interaction
198,216,198 is in love with 216,Interaction
198,23,"198 teaches at Bruenwalt International, where 23 is a student.",Spatial
205,232,Both work for Pall Mall Oil,Spatial
216,219,"216 is a taxi driver, 219 had an incident in a taxi recently",Incidental
235,102,Both have copies of the FT,Shared thoughts
